<0> 0,1,9,27,28,32,33,34,41,42,45,46 => 2,3,4,5,6,7,8,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,29,30,31,35,36,37,38,39,40,43,44,47,48
<0> 27,28,32,33,34,41,42,43,44,45,46,47,48 => 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,29,30,31,35,36,37,38,39,40
<0> 5,9,16,18,27,28,32,33,34,40,41,42,45,46 => 0,1,2,3,4,6,7,8,10,11,12,13,14,15,17,19,20,21,22,23,24,25,26,29,30,31,35,36,37,38,39,43,44,47,48
<0> 10,11,13,14,26,27,28,32,33,34,40,41,42,43,44,45,46 => 0,1,2,3,4,5,6,7,8,9,12,15,16,17,18,19,20,21,22,23,24,25,29,30,31,35,36,37,38,39,47,48
<0> 5,16,17,27,28,32,33,34,40,41,42,43,44,45,46 => 0,1,2,3,4,6,7,8,9,10,11,12,13,14,15,18,19,20,21,22,23,24,25,26,29,30,31,35,36,37,38,39,47,48
<0> 5,16,19,27,28,32,33,34,39,40,41,42,43,44,45,46 => 0,1,2,3,4,6,7,8,9,10,11,12,13,14,15,17,18,20,21,22,23,24,25,26,29,30,31,35,36,37,38,47,48
<0> 9,19,21,28,32,33,34,36,39,40,41,42,43,44,45,46 => 0,1,2,3,4,5,6,7,8,10,11,12,13,14,15,16,17,18,20,22,23,24,25,26,27,29,30,31,35,37,38,47,48
<0> 5,9,17,19,28,32,33,34,39,40,41,42,43,44,45,46 => 0,1,2,3,4,6,7,8,10,11,12,13,14,15,16,18,20,21,22,23,24,25,26,27,29,30,31,35,36,37,38,47,48
<0> 5,9,17,21,28,32,33,34,36,39,40,41,42,43,44,45,46 => 0,1,2,3,4,6,7,8,10,11,12,13,14,15,16,18,19,20,22,23,24,25,26,27,29,30,31,35,37,38,47,48
<0> 8,9,27,28,31,32,33,34,36,37,40,41,42,43,44,45,46 => 0,1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,29,30,35,38,39,47,48
<0> 5,9,18,19,27,28,32,33,34,39,40,41,42,43,44,45,46 => 0,1,2,3,4,6,7,8,10,11,12,13,14,15,16,17,20,21,22,23,24,25,26,29,30,31,35,36,37,38,47,48
<0> 5,8,9,17,18,27,28,32,33,34,40,41,42,43,44,45,46 => 0,1,2,3,4,6,7,10,11,12,13,14,15,16,19,20,21,22,23,24,25,26,29,30,31,35,36,37,38,39,47,48
<0> 5,8,9,16,21,25,26,27,28,32,33,34,36,39,40,41,42,43,44,45,46 => 0,1,2,3,4,6,7,10,11,12,13,14,15,17,18,19,20,22,23,24,29,30,31,35,37,38,47,48
<0> 4,5,8,9,18,20,25,26,27,28,31,32,33,34,39,40,41,42,43,44,45,46 => 0,1,2,3,6,7,10,11,12,13,14,15,16,17,19,21,22,23,24,29,30,35,36,37,38,47,48
<0> 4,5,8,9,17,20,25,26,27,28,31,32,33,34,39,40,41,42,43,44,45,46 => 0,1,2,3,6,7,10,11,12,13,14,15,16,18,19,21,22,23,24,29,30,35,36,37,38,47,48
<0> 4,5,8,9,16,20,25,26,27,28,31,32,33,34,39,40,41,42,43,44,45,46 => 0,1,2,3,6,7,10,11,12,13,14,15,17,18,19,21,22,23,24,29,30,35,36,37,38,47,48
<0> 0,3,4,5,6,7,8,9,10,13,16,25,26,27,28,31,32,33,34,37,38,39,40,41,42,43,44,45,46,48 => 1,2,11,12,14,15,17,18,19,20,21,22,23,24,29,30,35,36,47
<0> 0,3,4,5,6,7,8,9,10,13,16,25,26,27,28,30,31,32,33,34,38,39,40,41,42,43,44,45,46,48 => 1,2,11,12,14,15,17,18,19,20,21,22,23,24,29,35,36,37,47
<0> 0,3,4,5,6,7,8,9,10,13,16,25,26,27,28,29,31,32,33,34,38,39,40,41,42,43,44,45,46,48 => 1,2,11,12,14,15,17,18,19,20,21,22,23,24,30,35,36,37,47
<0> 5,8,9,18,21,25,26,27,28,31,32,33,34,36,39,40,41,42,43,44,45,46 => 0,1,2,3,4,6,7,10,11,12,13,14,15,16,17,19,20,22,23,24,29,30,35,37,38,47,48
<0> 3,4,5,8,9,18,23,25,26,27,28,31,32,33,34,36,39,40,41,42,43,44,45,46 => 0,1,2,6,7,10,11,12,13,14,15,16,17,19,20,21,22,24,29,30,35,37,38,47,48
<0> 3,4,5,8,9,17,23,25,26,27,28,31,32,33,34,36,39,40,41,42,43,44,45,46 => 0,1,2,6,7,10,11,12,13,14,15,16,18,19,20,21,22,24,29,30,35,37,38,47,48
<0> 3,4,5,8,9,16,23,25,26,27,28,31,32,33,34,36,39,40,41,42,43,44,45,46 => 0,1,2,6,7,10,11,12,13,14,15,17,18,19,20,21,22,24,29,30,35,37,38,47,48
<0> 2,3,4,5,8,9,19,23,25,26,27,28,31,32,33,34,36,39,40,41,42,43,44,45,46,48 => 0,1,6,7,10,11,12,13,14,15,16,17,18,20,21,22,24,29,30,35,37,38,47
<0> 1,2,3,4,5,8,9,11,14,21,25,26,27,28,29,31,32,33,34,36,39,40,41,42,43,44,45,46,47 => 0,6,7,10,12,13,15,16,17,18,19,20,22,23,24,30,35,37,38,48
<0> 0,3,4,5,8,9,18,24,25,26,27,28,31,32,33,34,36,39,40,41,42,43,44,45,46 => 1,2,6,7,10,11,12,13,14,15,16,17,19,20,21,22,23,29,30,35,37,38,47,48
<0> 0,3,4,5,8,9,17,24,25,26,27,28,31,32,33,34,36,39,40,41,42,43,44,45,46 => 1,2,6,7,10,11,12,13,14,15,16,18,19,20,21,22,23,29,30,35,37,38,47,48
<0> 0,3,4,5,8,9,16,24,25,26,27,28,31,32,33,34,36,39,40,41,42,43,44,45,46 => 1,2,6,7,10,11,12,13,14,15,17,18,19,20,21,22,23,29,30,35,37,38,47,48
<0> 1,3,4,5,6,7,8,9,19,20,25,26,27,28,31,32,33,34,36,39,40,41,42,43,44,45,46,48 => 0,2,10,11,12,13,14,15,16,17,18,21,22,23,24,29,30,35,37,38,47
<0> 1,2,3,4,5,6,7,8,9,11,14,20,23,25,26,27,28,31,32,33,34,36,39,40,41,42,43,44,45,46,48 => 0,10,12,13,15,16,17,18,19,21,22,24,29,30,35,37,38,47
<0> 0,2,3,4,5,6,7,8,9,19,24,25,26,27,28,31,32,33,34,35,36,39,40,41,42,43,44,45,46,48 => 1,10,11,12,13,14,15,16,17,18,20,21,22,23,29,30,37,38,47
<0> 1,4,5,6,7,8,9,10,13,20,22,25,26,27,28,31,32,33,34,36,39,40,41,42,43,44,45,46,48 => 0,2,3,11,12,14,15,16,17,18,19,21,23,24,29,30,35,37,38,47
<0> 1,4,5,6,7,8,9,10,13,16,22,25,26,27,28,31,32,33,34,36,39,40,41,42,43,44,45,46,48 => 0,2,3,11,12,14,15,17,18,19,20,21,23,24,29,30,35,37,38,47
<0> 1,4,5,6,7,8,9,10,13,22,25,26,27,28,29,31,32,33,34,36,39,40,41,42,43,44,45,46,48 => 0,2,3,11,12,14,15,16,17,18,19,20,21,23,24,30,35,37,38,47
<0> 0,3,4,5,6,7,8,9,10,13,16,25,26,27,28,31,32,33,34,36,38,39,40,41,42,43,44,45,46,48 => 1,2,11,12,14,15,17,18,19,20,21,22,23,24,29,30,35,37,47
